NC,CMMF Code,Commercial,ItemName,Brand,Type,Go Price(판매가),PRICE,네이버쇼핑 최저가,쿠팡 최저가
1,8010001137,EX8708KR,테팔 풀오토 에스프레소머신 인튜이션 에센셜 EX8708KR,TEFAL,Espresso,"1,554,000","353,182",,
2,7211004662,BL94HDKR,테팔 초고속 블렌더 인피니믹스 플러스 사일런스 실버 BL94HDKR,TEFAL,Food prep,"379,000","86,136",,
3,7211003953,BL91HDKR,테팔 초고속블렌더 인피니믹스 플러스 실버 및 텀블러(TVHS),TEFAL,Food prep,"349,000","79,318",,
4,7211004087,BL9158KR,테팔 초고속블렌더 인피니믹스 플러스 블랙(All) BL9158KR,TEFAL,Food prep,"329,000","74,773",,
5,7211419156,BL88XDKR,테팔 초고속블렌더 퍼펙트믹스 플러스 트라이탄 및 대용량 다지기,TEFAL,Food prep,"269,000","61,136",,
6,7211419155,BL88CDKR,테팔 초고속블렌더 퍼펙트믹스 플러스 트라이탄 및 다지기 BL88CDKR,TEFAL,Food prep,"249,000","56,591",,
7,7211419154,BL88ADKR,테팔 초고속블렌더 퍼펙트믹스 플러스 트라이탄 BL88ADKR,TEFAL,Food prep,"239,000","54,318",,
8,3200001715,416664111,WMF 컬트 프로 멀티블렌더 에디션 0416664111,WMF,Food prep,"239,000","54,318",,
9,3200002136,416494111,WMF 키친미니스 유리미니믹서기,WMF,Food prep,"189,000","42,955",,
10,7211419881,BL19G4K0,테팔 슬림핏 초고속블렌더 블렌드업 믹서기 BL19G4K0_1,TEFAL,Food prep,"179,000","40,682",,
11,7211419880,BL195EK0,테팔 슬림핏 초고속블렌더 블렌드업 믹서기 BL195EK0_1,TEFAL,Food prep,"159,000","36,136",,
12,7211419556,BL78UBK0,테팔 초고속블렌더 퍼펙트믹스 에센셜 대용량 다지기 BL78UBK0,TEFAL,Food prep,"149,000","33,864",,
13,7211004118,HB9438KR,테팔 핸드블렌더 인피니포스 프로 HB9438KR,TEFAL,Food prep,"139,000","31,591",,
14,7211419522,HB67L8K0,테팔 핸드블렌더 퀵세프 사일런스 대용량 다지기 HB67L8K0,TEFAL,Food prep,"139,000","31,591",,
15,1510002441,FW6058KR,테팔 멀티 에어프라이어 오븐 FW6058KR,TEFAL,Fryers,"379,000","86,136",,
16,7211419488,EY8211K0,테팔 에어프라이어 이지프라이 인프라레드 비전 화이트 6L EY8211K0,TEFAL,Fryers,"169,000","38,409",,
17,7211004992,EY1308KR,테팔 이지프라이 에센셜 EY1308KR 에어프라이어,TEFAL,Fryers,"149,000","33,864",,
18,7211419393,EY145AK0,테팔 에어프라이어 이지프라이 컴팩트 3L 벨루가화이트 EY145AK0,TEFAL,Fryers,"139,000","31,591",,
19,8010001331,TG5008KR,테팔 스모크리스 비비큐 그릴 TG5008KR,TEFAL,Grills,"249,000","56,591",,
20,8010001330,TG500DKR,테팔 스모크리스 이지 그릴 TG500DKR,TEFAL,Grills,"249,000","56,591",,
21,1510003044,CB571DK0,테팔 와이드 플랜차 그릴 CB571DK0,TEFAL,Grills,"219,000","49,773",,
22,2100112352,CB65E8KR,테팔 파워그릴 포스 기본형 (CB65E8KR),TEFAL,Grills,"174,000","39,545",,
23,2211401170,TY5588KS,테팔 무선청소기 에어포스360라이트 아쿠아 TY5588KS,TEFAL,Home Cleaning,"998,000","226,818",,
24,2211401169,TY5586KS,테팔 무선청소기 에어포스360라이트 아쿠아 TY5586KS,TEFAL,Home Cleaning,"949,000","215,682",,
25,2211401068,TY5520KS,테팔 무선청소기 에어포스360라이트 이지 TY5520KS,TEFAL,Home Cleaning,"762,000","173,182",,
26,2211401402,GF5035K0,테팔 무선청소기 진공&물걸레 엑스클린 4 GF5035K0,TEFAL,Home Cleaning,"549,000","124,773",,
27,7211005317,TY2069K0,테팔 무선청소기 엑스포스 9.60 헤파 TY2069K0,TEFAL,Home Cleaning,"519,000","117,955",,
28,7211005316,TY2058K0,테팔 무선청소기 엑스포스 9.60 헤파 TY2058K0,TEFAL,Home Cleaning,"499,000","113,409",,
29,2211401145,TY6963K0,테팔 무선청소기 엑스퍼트 3.60 플러피 TY6963K0,TEFAL,Home Cleaning,"499,000","113,409",,
30,7211004871,TY6831K0,테팔 무선청소기 엑스퍼트 6.60 TY6831K0,TEFAL,Home Cleaning,"489,000","111,136",,
31,7211005248,TY6A11K0,테팔 무선청소기 엑스퍼트 7.60 TY6A11K0,TEFAL,Home Cleaning,"369,000","83,864",,
32,7211005130,TY1134K0,테팔 무선청소기 엑스나노 TY1134K0,TEFAL,Home Cleaning,"349,000","79,318",,
33,7211005128,TY1132K0,테팔 무선청소기 엑스나노 TY1132K0,TEFAL,Home Cleaning,"349,000","79,318",,
34,7211005250,TY6A17K0,테팔 무선청소기 엑스퍼트 7.60 TY6A17K0,TEFAL,Home Cleaning,"349,000","79,318",,
35,7211005247,TY6A16K0,테팔 무선청소기 엑스퍼트 7.60 TY6A16K0,TEFAL,Home Cleaning,"345,000","78,409",,
36,7211005246,TY6A13K0,테팔 무선청소기 엑스퍼트 7.60 TY6A13K0,TEFAL,Home Cleaning,"340,000","77,273",,
37,7211005412,TY6A12K0,테팔 무선청소기 엑스퍼트 7.60 라이트 TY6A12K0,TEFAL,Home Cleaning,"340,000","77,273",,
38,7211005127,TY1131K0,테팔 무선청소기 엑스나노 TY1131K0,TEFAL,Home Cleaning,"299,000","67,955",,
39,2211400337,TY6545KL,테팔 무선청소기 에어포스 라이트 TY6545KL,TEFAL,Home Cleaning,"223,000","50,682",,
40,2211400343,TY6544KM,테팔 무선청소기 에어포스 라이트 TY6544KM,TEFAL,Home Cleaning,"223,000","50,682",,
41,7211005284,TW4B20K0,테팔 캐니스터 컴팩트파워 TW4B20K0,TEFAL,Home Cleaning,"199,000","45,227",,
42,7211005283,TW4B25K0,테팔 캐니스터 컴팩트파워 TW4B25K0,TEFAL,Home Cleaning,"199,000","45,227",,
43,7211419996,IH2108KR,테팔 에브리데이 슬림 1구 인덕션 레인지 IH2108,TEFAL,Induction hob,"142,000","32,273",,
44,2100128383,L895S824,테팔 매직핸즈 인덕션 스테인리스 스틸 화이트 골드 에디션,TEFAL,Ingenio,"207,900","47,250",,
45,2100128756,L7839522,테팔 매직핸즈 인덕션 딜라이트 볶음팬 멀티 6종 세트,TEFAL,Ingenio,"204,900","46,568",,
46,2100128492,L7849522,테팔 매직핸즈 인덕션 데일리 쉐프 울트라 블루 볶음팬 멀티,TEFAL,Ingenio,"201,900","45,886",,
47,2100141665,L828S624,테팔 매직핸즈 인덕션 세레니티 유칼립투스 6종 세트,TEFAL,Ingenio,"196,900","44,750",,
48,2100128754,L7839622,테팔 매직핸즈 인덕션 딜라이트 프라이팬 멀티 6종 세트,TEFAL,Ingenio,"189,900","43,159",,
49,2100136824,L825S524,테팔 매직핸즈 크렘 드 피스타치오 5p (SP18+FP24+WP26+,TEFAL,Ingenio,"163,900","37,250",,
50,2100136826,L826S524,테팔 매직핸즈 PTFE 인덕션 크렘 드 버터 5종 세트,TEFAL,Ingenio,"163,900","37,250",,
51,2100141654,L839S524,테팔 매직핸즈 인덕션 PTFE 2X 크렘 드 피치 5종 세트,TEFAL,Ingenio,"163,900","37,250",,
52,2100128753,L7839222,테팔 매직핸즈 인덕션 딜라이트 트라이미 3종 세트,TEFAL,Ingenio,"134,900","30,659",,
53,1830007932,QT1411K0,테팔 가먼스티머 엑시오 QT1411K0,TEFAL,Irons,"428,000","97,273",,
54,1830008769,UR1738K1,테팔 가먼스티머 트위니 스팀포스 UR1738K1,TEFAL,Irons,"300,000","68,182",,
55,1830008999,IT8480K0,테팔 가먼스티머 프로스타일 케어 IT8480K0,TEFAL,Irons,"229,000","52,045",,
56,1830008367,FV6872K0,테팔 스팀다리미 스마트프로텍트 플러스 FV6872K0,TEFAL,Irons,"197,000","44,773",,
57,1830007597,FV6550K0,테팔 스팀다리미 무선다리미 프리무브 에어 FV6550K0,TEFAL,Irons,"164,000","37,273",,
58,1830007595,FV6551K0,테팔 스팀다리미 무선다리미 프리무브 에어 FV6551K0,TEFAL,Irons,"164,000","37,273",,
59,1830007508,FV6522K0,테팔 스팀다리미 무선다리미 프리무브 에어 FV6522K0,TEFAL,Irons,"153,000","34,773",,
60,1830008398,FV5843K0,테팔 스팀다리미 울트라글라이드 플러스 FV5843K0,TEFAL,Irons,"142,000","32,273",,
61,7211005137,IT3280K0,테팔 스탠드형 스팀다리미 오리진 홈 IT3280K0,TEFAL,Irons,"139,000","31,591",,
62,7211004983,KO9238KR,테팔 무선주전자 카페 컨트롤 KO9238KR,TEFAL,Kettle,"179,000","40,682",,
63,7211003842,KO8508KR,테팔 디지털 디스플레이 1.7L 무선주전자 KO8508KR,TEFAL,Kettle,"139,000","31,591",,
64,3200000571,413140411,WMF 키친미니스 0.8리터 무선주전자 0413140411,WMF,Kettle,"139,000","31,591",,
65,3201002753,1891946032,WMF 주방칼 그랑구르메 산도쿠식도 18cm,WMF,Knife,"179,900","40,886",,
66,8000035758,OF4448KR,테팔 옵티모 19L 오븐 OF4448KR,TEFAL,Oven,"186,000","42,273",,
67,2100118251,H9123344,테팔 팬&냄비 인덕션 PTFE 3X 제이미 올리버 쿡스 클래식,JAMIE OLIVER,Pan,"159,900","36,341",,
68,2100130105,H9120735,테팔 팬&냄비 인덕션 PTFE 3X 제이미 올리버 쿡스 클래식,JAMIE OLIVER,Pan,"132,900","30,205",,
69,3201112210,516025290,WMF 냄비 퓨전테크 네이처 그린 4PCS set,WMF,Pot,"1,097,000","249,318",,
70,3201113674,514895290,WMF 냄비 퓨전테크 미네랄 4pcs 세트_로즈 쿼츠,WMF,Pot,"978,000","222,273",,
71,3201113665,514875290,WMF 냄비 퓨전테크 미네랄 4pcs 세트_다크 브라스,WMF,Pot,"978,000","222,273",,
72,3201113666,514885290,WMF 냄비 퓨전테크 미네랄 4pcs 세트_플라티늄,WMF,Pot,"978,000","222,273",,
73,8900544499,760046043,WMF 냄비 펑션4 어드밴스드 4pcs 세트_Omegna (20L 16H),WMF,Pot,"884,000","200,909",,
74,8910000066,1790146030,WMF 얼티밋 쿨 4pcs 세트,WMF,Pot,"830,000","188,636",,
75,8900547162,720046033,WMF 냄비 구르메 플러스 4pcs 세트 (Omegna/20L 16H 20H),WMF,Pot,"809,000","183,864",,
76,3201112209,516005290,WMF 냄비 퓨전테크 오션 4PCS set_그린,WMF,Pot,"649,000","147,500",,
77,3201010516,730086043,WMF 냄비 디아뎀플러스 5pcs set(New),WMF,Pot,"309,000","70,227",,
78,3201113960,1730146033,WMF 인스피레이션 플러스 4종 세트,WMF,Pot,"199,000","45,227",,
79,3201111825,740246033,WMF 냄비 아이코닉 높은 양수 24cm,WMF,Pot,"179,000","40,682",,
